Date,ANET,CRWD,LWMHF,LLY,CEG,NVDA.NE,LRLCF,MRU.TO,SSB,COP,TMUS,BIIB,TSM,DOL.TO,NKE
2/1/2024,262.980011,299.369995,844.200012,660.429993,127.629997,62.75,490.730011,70.550003,81.040001,111.379997,162.5,247.830002,113.389999,100.309998,101.760002
2/2/2024,273.100006,303.570007,842.929993,667.650024,129.710007,65.779999,477.799988,69.720001,80.830002,110.629997,161.779999,243.720001,115.75,99.330002,100.709999
2/5/2024,272.970001,302.48999,839.289978,706.200012,127.029999,64.720001,494.920013,70.330002,79.730003,109.970001,162.009995,241.839996,118.790001,99.540001,99.68
2/6/2024,264.890015,302.109985,840,705.030029,131.009995,66.440002,488.540009,70,79.559998,111.519997,161,245.550003,119.379997,98.830002,102.610001
2/7/2024,267.049988,317.779999,844.650024,725.380005,132.5,66.129997,484,69.480003,80.529999,112.32,161.779999,240.539993,124.980003,100.18,103.790001
2/8/2024,275.890015,323.040009,864.25,735.679993,130.720001,68.43,465,69.260002,79.889999,113.900002,160.929993,240.300003,133.729996,100.699997,103.769997
2/9/2024,282.450012,329.339996,873.929993,740.159973,132.169998,68.589996,454.670013,69.260002,82.400002,111.160004,162.190002,240.979996,133.110001,100.959999,104.5
2/12/2024,280.880005,321.290009,880.950012,737.26001,128.509995,68.349998,467.25,68.440002,83.510002,111.099998,161.759995,244.740005,130.460007,100.139999,107.18
2/13/2024,265.51001,322.440002,855.23999,742.969971,127.910004,70.050003,457.559998,70.019997,78.959999,109.769997,161.479996,226.649994,127.550003,102.830002,105
2/14/2024,265.670013,334.549988,866,757.309998,128.669998,68.949997,462.559998,70.599998,81.32,110.120003,161.419998,220.740005,129.270004,102.760002,106.330002
2/15/2024,266.5,331.380005,881.190002,757.780029,131.5,69.029999,475.369995,71.019997,85.370003,111,161.570007,223.350006,129.029999,103.339996,106.050003
2/16/2024,261.75,329.23999,879,782.059998,131.160004,65.889999,483.5,71.230003,85.349998,110.57,160.410004,219.080002,126.690002,104.419998,103.510002
2/20/2024,259.609985,323.709991,888.5,755.659973,131.800003,64.029999,480.829987,71.220001,84.029999,109.540001,162.050003,219.210007,125.330002,104.150002,103.300003
2/21/2024,254.490005,292.359985,892.429993,745.909973,131.399994,74.370003,479.790009,72.959999,83.220001,112.870003,164.050003,221.110001,125.339996,104.959999,105.269997
2/22/2024,268.76001,310.910004,913.890015,769.640015,133.389999,74.779999,489.100006,73.690002,82.900002,112.220001,163.550003,222.479996,129.070007,105.690002,105.080002
2/23/2024,267.660004,311.48999,918.570007,769.539978,133.990005,75,486.209991,73.25,82.589996,111.510002,164.339996,223.320007,129.529999,105.230003,105.629997
2/26/2024,273.73999,321.029999,913.25,771.919983,133.220001,74.650002,486.100006,74.080002,82.269997,112.419998,163.910004,223.710007,130.639999,106.470001,104.540001
2/27/2024,271.910004,321.209991,923.73999,765,155.759995,73.629997,488.799988,73.919998,83.510002,111.610001,164.619995,223.940002,128.589996,107.230003,105.150002
2/28/2024,273.170013,320.940002,919.400024,757.640015,170.830002,75.279999,483.809998,73.480003,82.269997,112.040001,163.800003,221.740005,127.379997,104.980003,104.349998
